Date;Profile;Message;Number of Reactions;Number of Shares;Number of Comments (primary);Number of Shares;Comments per post;Comments on posts by fans;Post interaction rate;Engagement;Number of Likes;Link-posts;Picture Posts;Video-posts;Profile-ID;Post-ID;Link
12/31/23 3:31 PM;Busch Gardens Tampa Bay;What better way to ring in 2024 than with unforgettable fun during the day and fireworks at night?! 🎆 Join us tonight for a festive NYE fireworks show, entertainment and more until 1:00 am! Plus, don't forget that you still have until tomorrow to save up to 40% on tickets, Fun Cards & Annual Passes with our extended Holiday Sale by visiting the link in our bio. See you all next year! 🎢😉;332.0;;15.0;38.0;20.0;20.0;5,77E+11;5,77E+11;266.0;;;1.0;68181225238;68181225238_755682239923749;https://www.facebook.com/638736908284950/posts/755682239923749
12/31/23 1:15 PM;Hersheypark;"Don't wait! Today is the last day to save up to $60 and enjoy a 9-month payment plan for 2024 Season Passes! Explore the new perks and get ready for a year full of fun!
https://bit.ly/2LBjR9a";52.0;;2.0;0.0;2.0;2.0;6,28E+10;6,28E+10;44.0;;;1.0;16994689356;16994689356_763305079162692;https://www.facebook.com/639748524851682/posts/763305079162692
12/31/23 9:00 AM;Gilroy Gardens;"Today is the LAST DAY of the year and the LAST DAY to claim your New Year Bonus Bundle with every 2024 Premium Membership! Buy today and come out to the park to spend your  $30 in Bonus Bucks, bring a friend along for FREE, and also enjoy our January Bonus Days on January 5, 6 & 7. But hurry...this amazing offer ends at midnight! 

gilroygardens.org/tickets/memberships";36.0;;2.0;1.0;2.0;2.0;4,77E+11;4,77E+11;26.0;;1.0;;1,22944E+14;122943674395623_763208052510844;https://www.facebook.com/547581810740137/posts/763208052510844
12/31/23 5:21 AM;Sea Life Park;"#FunFact: Did you know that Honu have specialized glands that help them excrete excess salt from their bodies, allowing them to survive in saltwater environments?
 
Learn more about Hawaiian Sea Turtles during your next park visit!";16.0;;1.0;2.0;1.0;1.0;7,17E+10;7,17E+10;14.0;;1.0;;1,05016E+14;105015532870022_697162422516955;https://www.facebook.com/512254014341131/posts/697162422516955
12/31/23 3:15 AM;LEGOLAND California;Our tree really takes its “day to night” outfit transformation to a whole new level! 🎄 Come see our AWESOME new Christmas tree before Holidays at LEGOLAND ends. True holiday magic. ✨;42.0;;4.0;1.0;5.0;5.0;7,35E+10;7,35E+10;37.0;;;1.0;1,43631E+14;143631389003522_766432308856366;https://www.facebook.com/665808788918719/posts/766432308856366
12/31/23 2:24 AM;Wild Adventures Theme Park;Only one day left before prices go up! 😱 Get your 2024 Season Passes now to save up to $35 and enjoy benefits like Bring-A-Friend Tickets, Free Concert Admission, Free Animal Feedings and MORE!  https://www.wildadventures.com/buy-tickets/season-passes/;10.0;;1.0;0.0;1.0;1.0;5,98E+10;5,98E+10;9.0;;1.0;;84679583132;84679583132_769618858544632;https://www.facebook.com/617429960430190/posts/769618858544632
12/31/23 1:53 AM;Elitch Gardens;Need some *lit* plans for a family-friendly New Year’s Eve? ✨ Visit Luminova Holidays at Elitch Gardens! Tomorrow, December 31, is the last day of the event. Open 5-9pm! 🥳;57.0;;12.0;5.0;14.0;14.0;5,13E+11;5,13E+11;41.0;;1.0;;62242807350;62242807350_751896490309978;https://www.facebook.com/547583224074640/posts/751896490309978
12/31/23 1:02 AM;Six Flags Great Adventure;Get out here now and close out the 2023 season with us! There are only three days left of Holiday in The Park! 🎄 ✨;107.0;;20.0;4.0;30.0;30.0;1,25E+10;1,25E+10;80.0;;1.0;;69421318512;69421318512_749769017185768;https://www.facebook.com/630574765771861/posts/749769017185768
12/31/23 1:00 AM;Pacific Park;Embark on a luminous journey with Pacific Wheel at Pacific Park! 🎡☀️ Soak in the breathtaking views of the SoCal coastline from 130 feet above the iconic Santa Monica Pier. Standing tall at 85 feet, this solar-powered Ferris wheel takes you on a captivating ride at 2.5 revolutions per minute. Don't miss the dazzling evening spectacle, as 174,000 LED lights paint the night with dynamic, computer-generated magic! 🌙✨;17.0;;0.0;2.0;0.0;0.0;3,39E+12;3,39E+12;14.0;;1.0;;61119627598;61119627598_749717757203972;https://www.facebook.com/562953045880445/posts/749717757203972
12/31/23 12:40 AM;Happy Hollow Park & Zoo;We are “ducky” to have your support! We met our $90,000 goal! Thank you for helping Happy Hollow Foundation double the impact this holiday season — your generosity continues to fund conservation, education and play at Happy Hollow.;15.0;;0.0;0.0;0.0;0.0;3,80E+12;3,80E+12;10.0;;1.0;;1,32943E+11;132942835175_753673856789452;https://www.facebook.com/328743942615781/posts/753673856789452
12/31/23 12:26 AM;Busch Gardens Williamsburg;Spread some holiday cheer, fireworks are almost here! Join us tomorrow for a spectacular fireworks display to ring in 2024! 🎇;131.0;;10.0;8.0;17.0;17.0;2,19E+12;2,19E+12;112.0;;1.0;;18543728314;18543728314_759061129595858;https://www.facebook.com/660535342781771/posts/759061129595858
12/31/23 12:26 AM;Santa Cruz Beach Boardwalk;🌊🌈🎢;580.0;;12.0;48.0;12.0;12.0;0.0015418974493643287;0.0015418974493643287;398.0;;1.0;;40035168377;40035168377_800734422097594;https://www.facebook.com/648251637345874/posts/800734422097594
12/30/23 11:59 PM;Kings Island;"Join us for our special New Year's Eve celebration at WinterFest tomorrow night! With fireworks, two countdowns (one with a balloon drop), the final rides of 2023, and the magic of WinterFest, it will be a night to remember!

❄️Learn more! Link in bio!

#KingsIsland";208.0;;13.0;25.0;22.0;22.0;3,72E+12;3,72E+12;171.0;;1.0;;1,55894E+11;155893938367_766750878825936;https://www.facebook.com/644500607717631/posts/766750878825936
12/30/23 9:33 PM;SeaWorld;In 2023, the SeaWorld Rescue team came to the aid of more than 300 animals in need. Each rescue adds up to one incredible impact. We’re so proud of our team’s tireless work over the past year! 💙;218.0;;26.0;29.0;26.0;26.0;1,48E+12;1,48E+12;160.0;;;1.0;63617892564;63617892564_760821672751754;https://www.facebook.com/638521248315131/posts/760821672751754
12/30/23 9:26 PM;Six Flags Discovery Kingdom;Holiday in the Park is lighting up the season thru January 7th!;52.0;;4.0;3.0;7.0;7.0;2,33E+12;2,33E+12;42.0;;1.0;;59636827742;59636827742_758865759609228;https://www.facebook.com/603103525185453/posts/758865759609228
12/30/23 9:14 PM;Enchanted Island Amusement Park;"Happy New Years Eve Eve! Enchanted Island is Open Daily thru Jan 7th. For Children ages 1 - 10 and their families.
#makingmemories❤️ #familyfun #justforfun #trainride #remember #amusementrides";44.0;;5.0;5.0;7.0;7.0;0.003960676143998868;0.003960676143998868;36.0;;1.0;;1,20659E+14;120659204674179_688837163331835;https://www.facebook.com/509186587963561/posts/688837163331835
12/30/23 9:14 PM;Universal Orlando Resort (US);Getting ready to say 'Bello!' to the new year!;1073.0;;25.0;87.0;28.0;28.0;3,86E+12;3,86E+12;866.0;;1.0;;90867402851;90867402851_774887224672652;https://www.facebook.com/648601030634606/posts/774887224672652
12/30/23 8:47 PM;Quassy Amusement & Waterpark;"🌟✋ Hold Tight! 

Quassy Amusement and Waterpark may be closed, but the countdown to the 2024 season has already begun. We miss the laughter, screams, and joy, but we'll be back before you know it! Happy New Year!

Who's counting down with us? 🗓️🎉 #CountdownToQuassy #SeeYouSoon";11.0;;0.0;0.0;0.0;0.0;2,84E+12;2,84E+12;11.0;;1.0;;38328744398;38328744398_763788015781019;https://www.facebook.com/562069092619580/posts/763788015781019
12/30/23 8:38 PM;Wild Adventures Theme Park;It's almost time to ring in the New Year! Join us as we light up the sky with a Fireworks Spectacular tomorrow night at 8 PM during our Family First Night event! Learn more here: https://bit.ly/47YfhIE;65.0;;14.0;15.0;27.0;27.0;5,81E+11;5,81E+11;58.0;;1.0;;84679583132;84679583132_769514025221782;https://www.facebook.com/617429960430190/posts/769514025221782
12/30/23 8:00 PM;Sesame Place San Diego;"As we look back on the past year, we are so grateful for all the happy memories and wonderful friends who have shared in this monumental year for us. Thank you for playing with us here at Sesame Place San Diego! 🎉​

​The year may be ending, but you still have this weekend AND next weekend to enjoy the holiday magic of A Very Furry Christmas!";40.0;;1.0;9.0;1.0;1.0;0.0018957345971563982;0.0018957345971563982;33.0;;1.0;;1,16947E+14;116946949686332_903936558408725;https://www.facebook.com/688289439973439/posts/903936558408725
12/30/23 8:00 PM;Walt Disney Animation Studios;Happy Holidays and have a very happy New Year from everyone at Walt Disney Animation Studios!;2036.0;;75.0;214.0;115.0;115.0;1,85E+12;1,85E+12;1355.0;;1.0;;23245476854;23245476854_932879154875608;https://www.facebook.com/825349885628536/posts/932879154875608
12/30/23 7:55 PM;Santa Cruz Beach Boardwalk;Indulge in the cozy warmth of hot cocoa and breathtaking views of Monterey Bay from your very own ocean-view fire pit. Make your next gathering unforgettable—book now at bit.ly/bw-firepits-s;414.0;;29.0;2.0;35.0;35.0;0.0010865558588489255;0.0010865558588489255;364.0;1.0;;;40035168377;40035168377_794345626069807;https://www.facebook.com/648251637345874/posts/794345626069807
12/30/23 7:38 PM;Busch Gardens Tampa Bay;Thanks so much to Wisconsin Football, LSU Football, and ReliaQuest Bowl for coming out to Busch Gardens yesterday! We hope you had a thrilling time. 🎢 Good luck to you both in the upcoming game! 🏈;181.0;;7.0;12.0;7.0;7.0;2,96E+11;2,96E+11;155.0;;1.0;;68181225238;68181225238_755267833298523;https://www.facebook.com/638736908284950/posts/755267833298523
12/30/23 7:17 PM;Kings Island;"Join us for our special New Year's Eve celebration at WinterFest tomorrow night! With fireworks, two countdowns (one with a balloon drop), the final rides of 2023, and the magic of WinterFest, it will be a night to remember!

❄️Learn more: https://bit.ly/4aziFLF

#KingsIsland";214.0;;20.0;29.0;26.0;26.0;3,93E+12;3,93E+12;178.0;;1.0;;1,55894E+11;155893938367_766664565501234;https://www.facebook.com/644500607717631/posts/766664565501234
12/30/23 7:06 PM;Knott's Berry Farm;What a year it's been on the Farm! From the opening of the new Fiesta Village to 50 spine-chilling years of Knott's Scary Farm, and all the Seasons of Fun in between, it's been a ride! Thank you for being a part of our year! Here's to more fun in 2024! 🎢;481.0;;26.0;25.0;48.0;48.0;8,66E+11;8,66E+11;383.0;;1.0;;10286130875;10286130875_758116996366704;https://www.facebook.com/648365507341854/posts/758116996366704
12/30/23 7:00 PM;Walt Disney Animation Studios;✨ Celebrate 100 years of Disney magic by watching the Original short film, Once Upon A Studio, in full on the Disney Animation YouTube Channel ✨ https://youtu.be/gB90me0aqSY;3635.0;;70.0;369.0;96.0;96.0;3,22E+11;3,22E+11;2531.0;;1.0;;23245476854;23245476854_932873314876192;https://www.facebook.com/825349885628536/posts/932873314876192
12/30/23 6:00 PM;West Edmonton Mall;"L2 Grill is excited to showcase their new New Year's Eve Dinner Table D'Hote and their New Year's Brunch Buffet! Welcome in the new year with amazing food with great company! 

Visit the following link today to view their delicious menu! https://flh.ca/dining/l2-grill/dine-in-menu";35.0;;3.0;12.0;5.0;5.0;2,82E+11;2,82E+11;33.0;;1.0;;2,07299E+11;207298682218_760241776150257;https://www.facebook.com/558875522953551/posts/760241776150257
12/30/23 5:33 PM;Cedar Point;"✨Getting ready to celebrate 2024?🥂

🏎️ Will you discover new thrills on #TopThrill2?
📷 Snag some adorable pics of the kiddos meeting Snoopy?
🥪 Try a new treat at Cedar Point Grand Pavilion?

Tell us YOUR Cedar Point New Year's Resolutions for 2024 below!";145.0;;25.0;16.0;27.0;27.0;1,20E+12;1,20E+12;109.0;;1.0;;10625691462;10625691462_766447808847810;https://www.facebook.com/635989478560311/posts/766447808847810
12/30/23 5:01 PM;SeaWorld San Diego;"In 2023 SeaWorld San Diego has rescued:​

🌊 70 Birds​
🌊 69 Sea lions​
🌊 17 Elephant seals​
🌊 1 Harbor seal​
🌊 1 Common dolphin​
🌊 1 Pygmy sperm whale​
🌊 2 Humpback whales​
🌊 2 Olive-Ridley sea turtles​
🌊 3 Green sea turtles​

​Each rescue adds up to one incredible impact. Thank you to our SeaWorld Rescue team for their tireless work over the past year!";72.0;;0.0;17.0;0.0;0.0;7,92E+11;7,92E+11;46.0;;;1.0;4,26112E+14;426111667814056_689297423348219;https://www.facebook.com/579518520992777/posts/689297423348219
12/30/23 5:00 PM;Lake Compounce;"Only 2 days left to have a holly jolly time at Holiday Lights! ✨

Visit us today from 1 - 8pm today or 3 - 8pm tomorrow for a final visit before the 2023 season ends! 🤩 

🎟 Save on tickets now: https://www.lakecompounce.com/discover-the-park/holiday-lights/tickets-passes";69.0;;5.0;11.0;8.0;8.0;5,36E+11;5,36E+11;55.0;;1.0;;80018245271;80018245271_791560976340426;https://www.facebook.com/548816340614892/posts/791560976340426
12/30/23 5:00 PM;Waterville USA;🎊 Ready for a private party like no other? Waterville USA brings you TWO Top Golf Swing Suites, TWO Bowling Lanes at Splash N Strike, and tasty bites from the Lagoon Bar. Let's party! 🥳 Watervilleusa.com/private-events;1.0;;0.0;0.0;0.0;0.0;1,74E+10;1,74E+10;1.0;;1.0;;1,38319E+11;138319355040_657844329898248;https://www.facebook.com/483859777296705/posts/657844329898248
12/30/23 4:50 PM;Wild Adventures Theme Park;A round of applause to TKO Valdosta Nissan and Mitsubishi, the driving forces behind the Wild Adventures LIVE! Concert Series! 🎶🚗 Thank you for fueling the energy at every concert!;10.0;;0.0;0.0;0.0;0.0;5,43E+10;5,43E+10;9.0;;;1.0;84679583132;84679583132_769425828563935;https://www.facebook.com/617429960430190/posts/769425828563935
12/30/23 4:00 PM;SeaWorld Orlando;"Joining us for New Year's Eve? Enjoy an all-inclusive New Year's Eve fireworks VIP viewing happy hour!
✨Specialty cocktails and ice-cold beer offerings
✨Premium tapas-inspired food menu 
✨New Year's Eve fireworks spectacular from a private waterfront patio at Lakeside.
✨Champagne toast at midnight
https://bit.ly/3RARRBY";80.0;;2.0;12.0;2.0;2.0;3,93E+12;3,93E+12;69.0;;1.0;;1782696285170057;1782696285170057_376680511700375;https://www.facebook.com/260024933365934/posts/376680511700375
